id_localidad;tipo_propiedad;nombre_conjunto;direccion
13;Edificio;ACERO;DG53#36A-46
1;Edificio;SUAZA DE LA SIERRA;KR19A#120-32
11;Conjunto Residencial;TORRES PORTAL DE SUBA;CL150A#102B-47ADADAD
13;Edificio;JOAQUIN BOTERO;CL35#24-48
11;Conjunto Residencial;TUSET;KR55#152B-71AD
1;Edificio;TERRANOVA;CL141Bis#16A-63
1;Agrupación Residencial;PRADERA SAN CARLOS II;KR11A#190-46
1;Edificio;AVANTE;KR9#147-46
3;Parque Residencial;BAVIERA;KR13#32-93
7;Agrupación;LOS CONDOMINIOS III DEL PORVENIR;CL50SUR#93D-97
2;Edificio;NOGAL 77;CL77#8-68
16;Multifamiliar;LOS SAUCES;KR43B#4-94
16;Conjunto Residencial;LOS ALPES;DG2B#35-26
12;Edificio;LIVING SAN MIGUEL;CL65#51-29
13;Edificio;PINEACOST;KR44#24A-81
1;Edificio;PORTALES DEL VALLE;KR16#106-45
1;Edificio;ANTARA 135;KR12C#135-43
3;Conjunto Residencial;NOVO CANDELARIA 1;CL6A#4-04
14;Copropiedad;SABANA CENTRAL;AK18#14-04
16;Edificio;SHANGAI;KR37A#10-19
4;Conjunto Residencial;RESERVA DEL TURPIAL;CL28GSUR#12D-20ESTE
1;Edificio;TORRE BELMIRA;CL145#7F-89
10;Multifamiliar;CEREZOS 5;KR87A#87-56
10;Edificio;BALCONES DE SAN JERONIMO;KR72Bis#75A-23
9;Conjunto Residencial;DC 26 APARTAESTUDIOS;AK85K#25G-53
16;Edificio;VERAGUAS ESTELAR;KR31B#5B-48
1;Edificio;SANTABIBIANA REAL;TV20#102-51
1;Edificio;LOS ALCAZARES;KR11A#114A-36
8;Conjunto Residencial;ALAMEDA SAN JOSE ETAPA V;KR88C#45A-66SUR
13;Edificio;DNIESTER;AC26#43-63
13;Edificio;EL MORAL;KR27#46-81
16;Conjunto Residencial;PARQUES DE MILENTA PH;AK68#1C-40SUR
12;Edificio Multifamiliar;JUAN CAMILO;KR59A#68-78
3;Conjunto Residencial;MACONDO SANTA LUCIA;KR14#38-66
13;Edificio;CRZ2;KR23#39-08
8;Agrupación;PINOS DE NUEVA CASTILLA;CL7#90-41
15;Conjunto Residencial;COREVIMA;CL38BisSUR#34-04
1;Condominio;COUNTRY PLAZA;KR7B#135-77
16;Copropiedad;VERONA CONJUNTO RESIDENCIAL PH;KR36#4-71
4;Edificio;JANS IV;KR6#19A-05SUR
13;Conjunto Residencial;SERRANILLA PH;CL22B#65-28
11;Conjunto Residencial;BELLOMONTE I ETAPA;KR79C#129-51
4;Edificio;BALCONES DE ORIENTE;KR6#7-19SUR
1;Conjunto Residencial;LOS BALCONES DE ORIENTE EDIFICIO LOS GERANIOS;KR14B#161-09
3;Conjunto Residencial;BALCONES DE SAN MARTIN;KR13#33-01
3;Copropiedad;PARQUE CENTRAL BAVARIA MANZANA DOS;KR13#28-45
1;Edificio;APICE CHICO;KR19A#104A-16
9;Copropiedad;CONJUNTO CENTRIK TOWN SALITRE ETAPA 1;KR69#22-11
19;Conjunto Residencial;GALICIA MANZANAS 10 Y 11;KR73H#62D-05SUR
8;Casas;CONJUNTO RESIDENCIAL NUEVA CASTILLA ETAPA 1  PROPIEDAD HORIZONTAL;CL8R#87B-40
2;Edificio;NUBA;KR2#54A-04
2;Conjunto Residencial;ALTOS DEL RETIRO;TV3#85-10
16;Conjunto Residencial;PARQUES DE PRIMAVERA I ETAPAS I Y II;CL4B#39B-90AD
11;Conjunto Residencial;PARQUES DE PROVENZA SECTOR A;CL119A#57-60
2;Edificio;ALAMEDA DEL COUNTRY;KR18#86A-03
2;Edificio;CONVIVA BRETON HILL;KR11#93A-37
1;Edificio;AREA 122;KR18#122-44
1;Edificio;VILLAGE PARK 125;CL125#18A-21
11;Edificio;VILLA DEL ROCIO;CL114#42-06
12;Edificio;J J VARGAS;KR66#67D-56
1;Conjunto Residencial;CORESA;KR2#108-88
1;Edificio;BELMONTE;CL119A#18-75
3;Edificio;EDIFICIO CATALINA I PROPIEDAD HORIZONTAL;KR13A#38-39
1;Edificio;NUEVA CANAAN;CL127A#17A-40
2;Edificio;EL CORAL NO 1;KR7#84C-20
2;Edificio;CALLE 85;CL85#8-36
1;Edificio;EL PARQUE;KR20#101-74
2;Edificio;ALTOS DEL CASTILLO ANOS SINCUENTA;TV1E#55A-29
2;Edificio;LAS FLORES;KR4#74-53
1;Conjunto Residencial;PLENITUD PROPIEDAD HORIZONTAL;CL127#15-36
1;Edificio;SAN REMO;CL114A#19-28
9;Conjunto Residencial;VILLA MAITE;CL22F#104-41AD
1;Edificio;MAURE PROPIEDAD HORIZONTAL;KR18C#118-96
1;Edificio;ALICANTE PROPIEDAD  HORIZONTAL;CL122#21-21
13;Edificio;BALCONES DE SAN LUIS;CL58#21-51
11;Edificio;TORRES DE SEGOVIA ETAPA II;KR57#138-34
3;Edificio;ASOCIACION COPROPIEDAD EDIFICIO UNION PH;KR10#15-39
2;Edificio;GALLERY CHICO RESERVADO II;KR8#95-40
11;Conjunto Residencial;PACANDE;CL132A#89-51
1;Conjunto Residencial;HACIENDA LA ESTANCIA ANDALUCIA;KR8#172A-85
1;Conjunto Residencial;GALILEO;CL166#9-15
1;Edificio;ANGELA MARIA;KR11A#119-61
13;Edificio;SANTA ANA;TV22A#59-11AD
13;Edificio;SALOA II;KR19#55A-11
14;Conjunto Residencial;USATAMA MANZANA F;CL22ABis#27-80
8;Casas;AGRUPACION DE VIVIENDA SHALOM IV;KR81J#57D-02SUR
1;Edificio;SAN FERNANDO;CL147#16-98
1;Edificio;PALMANOVA;CL145#15-31
2;Edificio;PERPIGNAN;KR9Bis#96-08
1;Edificio Multifamiliar;YUPANQUI - PROPIEDAD HORIZONTAL;KR7#150-55
1;Edificio;TORRES DE AKAIH II;KR7A#127-45
11;Conjunto Residencial;IBERIA III;CL131#57A-52
13;Edificio Multifamiliar;LOS ELISEOS;KR21#39-48
2;Edificio;ALTOS DEL RETIRO;TV1#83-51
1;Edificio;ALTOS DE MEDINA TORRE 1, 2 Y 3;KR5#131-90
11;Edificio Multifamiliar;TORRES DE JERICO I;CL107#52-38
1;Edificio;STUDIO 124;KR7BisA#124-70
11;Agrupación Multifamiliar;DON JOSE;CL169#48A-31AGAGAG
11;Apartamentos;MAZZINI;CL96#69B-75
2;Edificio;ALPINO;CL85#10-41
